"Numero partida municipal";tributo;numero_de_recibo;estado;periodo;fecha_emision;"Fecha 1er vencimiento";"Fecha 2do vencimiento";"interes resarcitorio";referencia;calle;altura;piso;dpto;localidad;"nro convenio origen";"descripcion convenio origen";"nombre del tipo de convenio origen";"fecha convenio origen";"nro convenio destino";"descripcion convenio destino";"nombre del tipo de convenio destino";"fecha convenio destino";"nro titulo ejecutorio";"fecha titulo ejecutorio";NORANUL;TIPOANUL;FECHANUL;Samco;samco
"147931/0001-5   ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147931/0001-5   ";04;1;T;201111;2011-11-30;2011-12-10;2012-01-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147931/0002-4   ";04;1;A;201109;2011-09-30;2011-10-10;2011-11-09;23.06;;"7 - 25 DE MAYO ";1146;;;;;;;;;;;;;;;;;Samco;1.00
"147931/0002-4   ";04;1;A;201110;2011-10-30;2011-11-09;2011-12-09;22.43;;"7 - 25 DE MAYO ";1146;;;;;;;;;;;;;;;;;Samco;1.00
"147931/0002-4   ";04;1;A;201111;2011-11-30;2011-12-10;2012-01-09;21.79;;"7 - 25 DE MAYO ";1146;;;;;;;;;;;;;;;;;Samco;1.00
"147932/0001-4   ";04;1;T;201109;2011-09-30;2011-10-10;2011-11-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147932/0001-4   ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147932/0001-4   ";04;1;T;201111;2011-11-30;2011-12-10;2012-01-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147932/0002-3   ";04;1;T;201109;2011-09-30;2011-10-10;2011-11-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147932/0002-3   ";04;1;A;201110;2011-10-30;2011-11-09;2011-12-09;23.65;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147932/0002-3   ";04;1;A;201111;2011-11-30;2011-12-10;2012-01-09;22.98;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147933/0000-4   ";04;1;A;201109;2011-09-30;2011-10-10;2011-11-09;23.83;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147933/0000-4   ";04;1;A;201110;2011-10-30;2011-11-09;2011-12-09;23.17;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147933/0000-4   ";04;1;A;201111;2011-11-30;2011-12-10;2012-01-09;22.52;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147934/0002-1   ";04;1;A;201109;2011-09-30;2011-10-10;2011-11-09;23.84;;"24 - SARMIENTO";1629;;;;;;;;;;;;;;;;;Samco;1.00
"147934/0002-1   ";04;1;A;201110;2011-10-30;2011-11-09;2011-12-09;23.19;;"24 - SARMIENTO";1629;;;;;;;;;;;;;;;;;Samco;1.00
"147934/0002-1   ";04;1;A;201111;2011-11-30;2011-12-10;2012-01-09;22.53;;"24 - SARMIENTO";1629;;;;;;;;;;;;;;;;;Samco;1.00
"147934/0001-2   ";04;1;T;201109;2011-09-30;2011-10-10;2011-11-09;0.00;;"11 - 9 DE JULIO";1171;;;;;;;;;;;;;;;;;Samco;1.00
"147934/0001-2   ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;"11 - 9 DE JULIO";1171;;;;;;;;;;;;;;;;;Samco;1.00
"147934/0001-2   ";04;1;T;201111;2011-11-30;2011-12-10;2012-01-09;0.00;;"11 - 9 DE JULIO";1171;;;;;;;;;;;;;;;;;Samco;1.00
"147935/0000-2   ";04;1;T;201109;2011-09-30;2011-10-10;2011-11-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147935/0000-2   ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147935/0000-2   ";04;1;T;201111;2011-11-30;2011-12-10;2012-01-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147936/0001-0   ";04;1;T;201109;2011-09-30;2011-10-10;2011-11-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147936/0001-0   ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147936/0001-0   ";04;1;T;201111;2011-11-30;2011-12-10;2012-01-09;0.00;;;;;;;;;;;;;;;;;;;;Samco;1.00
"147936/0002-9   ";04;1;T;201109;2011-09-30;2011-10-10;2011-11-09;0.00;;"11 - 9 DE JULIO";1127;;;;;;;;;;;;;;;;;Samco;1.00
"147936/0002-9   ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;"11 - 9 DE JULIO";1127;;;;;;;;;;;;;;;;;Samco;1.00
