"Numero partida municipal";tributo;"numero de recibo";estado;periodo;fecha_emision;"Fecha 1er vencimiento";"Fecha 2do vencimiento";"interes resarcitorio";referencia;calle;altura;piso;dpto;localidad;"nro convenio origen";"descripcion convenio origen";"nombre del tipo de convenio origen";"fecha convenio origen";"nro convenio destino";"descripcion convenio destino";"nombre del tipo de convenio destino";"fecha convenio destino";"nro titulo ejecutorio";"fecha titulo ejecutorio";NROANUL;TIPOANUL;FECHANUL;tasa;tasa
147;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
148;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
150;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
155;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
156;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;1.90;;;2343;;;;;;;;;;;;;;;;;tasa;20.00
159;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.40;;;;;;;;;;;;;;;;;;;;tasa;20.00
160;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
161;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;1.60;;;;;;;;;;;;;;;;;;;;tasa;20.00
168;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
171;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;7.90;;;;;;;;;;;;;;;;;;;;tasa;20.00
175;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;5.50;;;;;;;;;;;;;;;;;;;;tasa;20.00
185;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;"25 DE MAYO";1738;;;;;;;;;;;;;;;;;tasa;20.00
191;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
193;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
194;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
196;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;"47 - LOPEZ Y PLANES";1781;;;;;;;;;;;;;;;;;tasa;20.00
198;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
199;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;5.50;;;;;;;;;;;;;;;;;;;;tasa;20.00
202;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
204;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
209;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
211;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.40;;;;;;;;;;;;;;;;;;;;tasa;20.00
217;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;5.50;;;;;;;;;;;;;;;;;;;;tasa;20.00
220;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
221;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;"11 - 9 DE JULIO";1680;;;;;;;;;;;;;;;;;tasa;20.00
223;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
225;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
226;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
232;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
235;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
237;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
240;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
242;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
244;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;"21 - MORENO";3638;;;;;;;;;;;;;;;;;tasa;20.00
245;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
249;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;"74 - BV. OROÑO";1151;;;;;;;;;;;;;;;;;tasa;20.00
250;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;5.50;;;;;;;;;;;;;;;;;;;;tasa;20.00
252;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
253;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
