"Numero partida municipal";tributo;numero_de_recibo;estado;periodo;fecha_emision;"Fecha 1er vencimiento";"Fecha 2do vencimiento";"interes resarcitorio";referencia;calle;altura;piso;dpto;localidad;"nro convenio origen";"descripcion convenio origen";"nombre del tipo de convenio origen";"fecha convenio origen";"nro convenio destino";"descripcion convenio destino";"nombre del tipo de convenio destino";"fecha convenio destino";"nro titulo ejecutorio";"fecha titulo ejecutorio";NORANUL;TIPOANUL;FECHANUL;tasa;tasa
649815/0015-4;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;55.37;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
649815/0016-3;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;55.37;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
649822/0004-8;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;127.17;;;815;;;;;;;;;;convenio;;;;;;;tasa;45.94
649822/0005-7;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;182.71;;;567;;;;;;;;;;convenio;;;;;;;tasa;66.00
649824/0001-;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;"44 - JUAN DE GARAY";1710;;;;;;;;;;convenio;;;;;;;tasa;160.00
649826/0046-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;55.37;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
649839/0001-1;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;588.53;;;569;;;;;;;;;;convenio;;;;;;;tasa;212.59
649839/0009-3;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;463.62;;;569;;;;;;;;;;convenio;;;;;;;tasa;167.47
649839/0010-9;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;463.63;;;815;;;;;;;;;;convenio;;;;;;;tasa;167.48
649846/0001-1;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;373.24;;"20 - ESPAÑA";1626;;;;;;;;;;convenio;;;;;;;tasa;134.82
649851/0003-1;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;"1 - SAN MARTIN ";557;;;;;;;;;;convenio;;;;;;;tasa;20.00
649853/0000-2;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;55.37;;;3401;;;;;;;;;;convenio;;;;;;;tasa;20.00
649866/0002-4;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;"17 - SAN JERONIMO";1669;;;;;;;;;;convenio;;;;;;;tasa;20.00
649867/0000-5;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;447.28;;;1131;;;;;;;;;;convenio;;;;;;;tasa;161.57
649868/0001-3;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;451.93;;;1131;;;;;;;;;;convenio;;;;;;;tasa;163.25
649888/0000-8;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;55.37;;;4358;;;;;;;;;;convenio;;;;;;;tasa;20.00
649894/0009-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;82.80;;;1131;;;;;;;;;;convenio;;;;;;;tasa;29.91
649723/0002-6;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;1325.01;;;740;;;;;;;;;;convenio;;;;;;;tasa;478.63
649723/0003-5;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;445.64;;;;;;;;;;;;;convenio;;;;;;;tasa;160.98
649723/0004-4;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;883.13;;;;;;;;;;;;;convenio;;;;;;;tasa;319.01
649724/0001-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;379.20;;;;;;;;;;;;;convenio;;;;;;;tasa;136.98
649724/0002-5;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;387.60;;;;;;;;;;;;;convenio;;;;;;;tasa;140.01
649724/0003-4;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;897.58;;;1680;;;;;;;;;;convenio;;;;;;;tasa;324.23
649724/0004-3;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;1275.80;;;"473 B";;;;;;;;;;convenio;;;;;;;tasa;460.85
649724/0026-5;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;2174.65;;;;;;;;;;;;;convenio;;;;;;;tasa;785.54
649724/0027-4;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;2192.73;;;;;;;;;;;;;convenio;;;;;;;tasa;792.08
649724/0028-3;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;564.45;;;;;;;;;;;;;convenio;;;;;;;tasa;203.90
649724/0044-1;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;1670.85;;;367;;;;;;;;;;convenio;;;;;;;tasa;603.56
649724/0055-7;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;294.87;;;;;;;;;;;;;convenio;;;;;;;tasa;106.51
649724/0056-6;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;332.76;;;;;;;;;;;;;convenio;;;;;;;tasa;120.20
649725/0000-6;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;433.00;;;;;;;;;;;;;convenio;;;;;;;tasa;156.41
649726/0001-4;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;879.38;;;;;;;;;;;;;convenio;;;;;;;tasa;317.65
649727/0001-3;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;202.66;;"1 - SAN MARTIN ";1681;;;;;;;;;;convenio;;;;;;;tasa;73.21
649728/0002-1;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;101.29;;;;;;;;;;;;;convenio;;;;;;;tasa;36.59
649728/0003-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;101.29;;;;;;;;;;;;;convenio;;;;;;;tasa;36.59
649728/0004-9;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;101.29;;;;;;;;;;;;;convenio;;;;;;;tasa;36.59
649728/0005-8;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;86.92;;;;;;;;;;;;;convenio;;;;;;;tasa;36.59
649729/0001-1;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;;;;;;;;;;;convenio;;;;;;;tasa;102.74
649732/0000-6;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;74.18;;;;;;;;;;;;;convenio;;;;;;;tasa;26.79
649734/0001-3;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;55.37;;"44 - JUAN DE GARAY";1710;;;;;;;;;;convenio;;;;;;;tasa;20.00
649735/0000-3;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;18.54;;;;;;;;;;;;;convenio;;;;;;;tasa;26.79
649739/0001-8;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;55.37;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
649740/0001-4;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;55.37;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
649741/0001-3;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;55.37;;"31 - FALUCHO";;;;;;;;;;;convenio;;;;;;;tasa;20.00
649741/0002-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;55.37;;"31 - FALUCHO";;;;;;;;;;;convenio;;;;;;;tasa;20.00
649742/0000-3;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;55.37;;"31 - FALUCHO";;;;;;;;;;;convenio;;;;;;;tasa;20.00
649743/0002-0;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;35.17;;;515;;;;;;;;;;convenio;;;;;;;tasa;20.00
649746/0001-8;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;405.16;;;;;;;;;;;;;convenio;;;;;;;tasa;146.36
649746/0002-7;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;;;;;;;;;;;convenio;;;;;;;tasa;36.59
649747/0001-7;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;202.66;;;;;;;;;;;;;convenio;;;;;;;tasa;73.21
649747/0003-5;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;202.66;;;;;;;;;;;;;convenio;;;;;;;tasa;73.21
649747/0004-4;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;202.66;;;730;;;;;;;;;;convenio;;;;;;;tasa;73.21
649748/0000-7;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;183.67;;;;;;;;;;;;;convenio;;;;;;;tasa;66.35
649751/0002-9;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;201.13;;;;;;;;;;;;;convenio;;;;;;;tasa;72.65
649751/0007-4;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;85.18;;;936;;;;;;;;;;convenio;;;;;;;tasa;51.75
649752/0001-9;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;753.13;;"24 - SARMIENTO";2326;;;;;;;;;;convenio;;;;;;;tasa;272.05
649752/0003-7;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;373.71;;;144;;;;;;;;;;convenio;;;;;;;tasa;134.99
649756/0000-6;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;69.98;;"24 - SARMIENTO";2326;;;;;;;;;;convenio;;;;;;;tasa;25.28
649758/0000-4;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;69.98;;;367;;;;;;;;;;convenio;;;;;;;tasa;25.28
649759/0001-2;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;"1 - SAN MARTIN ";1152;;;;;;;;;;convenio;;;;;;;tasa;25.07
649759/0002-1;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;936;;;;;;;;;;convenio;;;;;;;tasa;25.07
649759/0003-0;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;41.90;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
649759/0004-9;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;;;;;;;;;;;convenio;;;;;;;tasa;25.07
