"Numero partida municipal";tributo;numero_de_recibo;estado;periodo;fecha_emision;"Fecha 1er vencimiento";"Fecha 2do vencimiento";"interes resarcitorio";referencia;calle;altura;piso;dpto;localidad;"nro convenio origen";"descripcion convenio origen";"nombre del tipo de convenio origen";"fecha convenio origen";"nro convenio destino";"descripcion convenio destino";"nombre del tipo de convenio destino";"fecha convenio destino";"nro titulo ejecutorio";"fecha titulo ejecutorio";NORANUL;TIPOANUL;FECHANUL;tasa;tasa
49;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;"44 - JUAN DE GARAY";1710;;;;;;;;;;convenio;;;;;;;tasa;160.00
50;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
51;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;600.46;;;569;;;;;;;;;;convenio;;;;;;;tasa;212.59
53;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;473.02;;;569;;;;;;;;;;convenio;;;;;;;tasa;167.47
54;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;473.03;;;1863;;;;;;;;;;convenio;;;;;;;tasa;167.48
55;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;380.81;;"20 - ESPAÑA";1626;;;;;;;;;;convenio;;;;;;;tasa;134.82
56;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;"1 - SAN MARTIN ";557;;;;;;;;;;convenio;;;;;;;tasa;20.00
57;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;;3401;;;;;;;;;;convenio;;;;;;;tasa;20.00
59;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;"17 - SAN JERONIMO";1669;;;;;;;;;;convenio;;;;;;;tasa;20.00
60;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;456.34;;;1131;;;;;;;;;;convenio;;;;;;;tasa;161.57
61;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;461.09;;;1131;;;;;;;;;;convenio;;;;;;;tasa;163.25
62;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;;4358;;;;;;;;;;convenio;;;;;;;tasa;20.00
63;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;84.48;;;1131;;;;;;;;;;convenio;;;;;;;tasa;29.91
64;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;1351.87;;;740;;;;;;;;;;convenio;;;;;;;tasa;478.63
65;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;454.67;;;;;;;;;;;;;convenio;;;;;;;tasa;160.98
66;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;901.03;;;;;;;;;;;;;convenio;;;;;;;tasa;319.01
67;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;386.88;;;;;;;;;;;;;convenio;;;;;;;tasa;136.98
68;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;395.45;;;;;;;;;;;;;convenio;;;;;;;tasa;140.01
69;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;915.77;;;1680;;;;;;;;;;convenio;;;;;;;tasa;324.23
70;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;1301.66;;;"473 B";;;;;;;;;;convenio;;;;;;;tasa;460.85
71;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;2218.73;;;;;;;;;;;;;convenio;;;;;;;tasa;785.54
72;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;2237.18;;;;;;;;;;;;;convenio;;;;;;;tasa;792.08
73;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;575.89;;;;;;;;;;;;;convenio;;;;;;;tasa;203.90
75;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;1704.72;;;367;;;;;;;;;;convenio;;;;;;;tasa;603.56
76;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;300.84;;;;;;;;;;;;;convenio;;;;;;;tasa;106.51
77;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;339.51;;;;;;;;;;;;;convenio;;;;;;;tasa;120.20
78;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;441.78;;;;;;;;;;;;;convenio;;;;;;;tasa;156.41
79;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;897.20;;;;;;;;;;;;;convenio;;;;;;;tasa;317.65
80;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;206.76;;"1 - SAN MARTIN ";1681;;;;;;;;;;convenio;;;;;;;tasa;73.21
84;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;103.34;;;;;;;;;;;;;convenio;;;;;;;tasa;36.59
85;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;103.34;;;;;;;;;;;;;convenio;;;;;;;tasa;36.59
86;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;103.34;;;;;;;;;;;;;convenio;;;;;;;tasa;36.59
